"Index","Open","High","Low","Close","Volume"
2054-11-17,15970,15986,15948,15982,16352
2054-11-18,16090,16116,15994,16020,43558
2054-11-19,15990,16024,15950,15984,45852
2054-11-20,16016,16164,16016,16160,48000
2054-11-21,16228,16228,15980,16074,81968
2054-11-22,16026,16080,15900,16056,56630
2054-11-23,16004,16020,15772,15864,77272
2054-11-24,15876,15876,15664,15712,54572
2054-11-25,15754,15754,15706,15708,31606
2054-11-26,15810,15852,15712,15734,41994
2054-11-27,15570,15608,15410,15500,68928
2054-11-28,15604,15614,15524,15584,41660
2054-11-29,15582,16070,15510,16030,58720
2054-11-30,16114,16198,16036,16190,56690
2054-12-01,16168,16278,16120,16132,54948
2054-12-02,16196,16218,16140,16174,49732
2054-12-03,16180,16188,16044,16118,38448
2054-12-04,16050,16220,16050,16168,43506
2054-12-05,15990,16004,15912,15944,66874
2054-12-06,15892,15932,15850,15860,41752
2054-12-07,15950,15976,15868,15888,38806
2054-12-08,15900,15944,15832,15894,43116
2054-12-09,15956,15982,15860,15864,31526
2054-12-10,15886,15890,15796,15802,31012
2054-12-11,15830,15852,15790,15834,35054
2054-12-12,15880,15920,15864,15904,29158
2054-12-13,15918,15922,15870,15882,21158
2054-12-14,15888,16014,15880,15936,48370
2054-12-15,15880,15888,15736,15764,55484
2054-12-16,15744,15780,15676,15682,40900
2054-12-17,15704,15710,15630,15672,34302
2054-12-18,15684,15690,15594,15650,37850
2054-12-19,15642,15686,15604,15636,25352
2054-12-20,15622,15648,15594,15606,27358
2054-12-21,15574,15596,15552,15582,25988
2054-12-22,15506,15558,15496,15528,32702
2054-12-23,15514,15546,15498,15502,20718
2054-12-24,15446,15488,15446,15470,24042
2054-12-25,15450,15494,15380,15386,63024
2054-12-26,15392,15466,15376,15458,41568
2054-12-27,15494,15502,15420,15492,36458
2054-12-28,15460,15520,15424,15428,38024
2054-12-29,15430,15446,15400,15422,30578
2054-12-30,15274,15288,15250,15256,55012
2054-12-31,15184,15196,15128,15166,47396
2055-01-01,15108,15180,15092,15152,39294
2055-01-02,15214,15260,15120,15168,48874
2055-01-03,15156,15170,15124,15158,24582
2055-01-04,15086,15096,15036,15050,30764
2055-01-05,14932,15010,14910,15006,19352
2055-01-06,14934,14940,14850,14902,10590
2055-01-07,14984,15016,14952,14962,8354
2055-01-08,14910,14930,14906,14914,4104
2055-01-09,14934,15040,14904,15028,38164
2055-01-10,15096,15152,15074,15096,39180
2055-01-11,15028,15048,14936,14948,31270
2055-01-12,14888,14960,14834,14918,45798
2055-01-13,14946,14962,14920,14954,28016
2055-01-14,14926,14972,14908,14960,24548
2055-01-15,14956,14986,14930,14952,30488
2055-01-16,14986,15010,14876,14882,39134
2055-01-17,14932,15024,14924,14998,35372
2055-01-18,14970,15070,14934,15048,38102
2055-01-19,15006,15078,14974,15060,35680
2055-01-20,14870,14910,14804,14842,70518
2055-01-21,14874,14952,14874,14934,35100
2055-01-22,14930,15016,14916,14988,36960
2055-01-23,15040,15064,15010,15028,40164
2055-01-24,14948,15030,14948,15024,44634
2055-01-25,15128,15172,15032,15054,61420
2055-01-26,15096,15144,15076,15142,48528
2055-01-27,15078,15088,15030,15036,28132
2055-01-28,15000,15032,14986,15014,9826
2055-01-29,15008,15022,14972,14980,35746
2055-01-30,14990,14990,14910,14914,33390
2055-01-31,14880,14890,14856,14884,25068
2055-02-01,14886,14912,14876,14888,27198
2055-02-02,14888,14918,14880,14892,17654
2055-02-03,14860,14886,14812,14826,35590
2055-02-04,14866,14910,14836,14862,31138
2055-02-05,15016,15042,14980,15038,52782
2055-02-06,14996,15034,14976,14994,33274
2055-02-07,14962,14988,14946,14970,16264
2055-02-08,14968,15014,14956,14996,19572
2055-02-09,15018,15074,15004,15068,29066
2055-02-10,15056,15100,14974,15004,31924
2055-02-11,15016,15044,15004,15030,19376
2055-02-12,15074,15126,15062,15118,28306
2055-02-13,15124,15134,15040,15054,28776
2055-02-14,15070,15082,14940,14978,46244
2055-02-15,15010,15036,14992,15028,19188
2055-02-16,15094,15350,15082,15308,93796
2055-02-17,15394,15420,15300,15410,65288
2055-02-18,15334,15390,15316,15360,33968
2055-02-19,15352,15414,15334,15400,37298
2055-02-20,15490,15540,15470,15520,43418
2055-02-21,15486,15526,15464,15484,33386
2055-02-22,15448,15472,15408,15420,30876
2055-02-23,15334,15372,15328,15348,25306
2055-02-24,15414,15472,15402,15464,31202
2055-02-25,15496,15514,15440,15444,26566
2055-02-26,15350,15410,15332,15350,34512
2055-02-27,15392,15452,15384,15448,31606
2055-02-28,15590,15684,15590,15664,47472
2055-03-01,15746,15766,15650,15764,54148
2055-03-02,15656,15724,15650,15706,45372
2055-03-03,15656,15688,15634,15674,29560
2055-03-04,15602,15694,15602,15684,40826
2055-03-05,15726,15798,15706,15770,45854
2055-03-06,15738,15746,15712,15724,28964
2055-03-07,15718,15736,15670,15686,35828
2055-03-08,15680,15690,15640,15664,20148
2055-03-09,15680,15846,15664,15814,15576
2055-03-10,15804,15818,15780,15794,11664
2055-03-11,15798,15804,15782,15788,8786
2055-03-12,15732,15792,15708,15784,27310
2055-03-13,15744,15744,15666,15700,32884
2055-03-14,15734,15782,15704,15750,42072
2055-03-15,15746,15756,15716,15720,16358
2055-03-16,15700,15730,15698,15702,16182
2055-03-17,15712,15726,15690,15694,18070
2055-03-18,15718,15800,15718,15782,24506
2055-03-19,15802,15952,15790,15948,46976
2055-03-20,15884,15926,15854,15898,28272
2055-03-21,16000,16032,15916,15922,32844
2055-03-22,15866,15896,15832,15892,28350
2055-03-23,15990,16010,15918,15926,24956
2055-03-24,16024,16180,16014,16040,40778
2055-03-25,16042,16082,16022,16058,28826
2055-03-26,16134,16134,16000,16092,38796
2055-03-27,16002,16030,15960,16028,29964
2055-03-28,15964,15970,15856,15894,32962
2055-03-29,15896,15944,15870,15924,18902
2055-03-30,15952,15996,15950,15988,14722
2055-03-31,15996,16020,15948,15954,26490
2055-04-01,15956,15982,15948,15962,16226
2055-04-02,15976,16012,15876,15934,38462
2055-04-03,15982,16066,15978,16038,34240
2055-04-04,16054,16102,15906,15926,35690
2055-04-05,15886,15954,15868,15942,27238
2055-04-06,15830,15830,15688,15756,52622
2055-04-07,15742,15798,15730,15748,27684
2055-04-08,15656,15670,15594,15606,33626
2055-04-09,15660,15670,15636,15654,25398
2055-04-10,15666,15712,15624,15684,20200
2055-04-11,15678,15680,15612,15630,18376
2055-04-12,15666,15678,15632,15654,12762
2055-04-13,15674,15732,15664,15720,24000
2055-04-14,15700,15720,15688,15714,12540
2055-04-15,15700,15714,15692,15700,8160
2055-04-16,15698,15700,15646,15654,16334
2055-04-17,15666,15670,15632,15656,17222
2055-04-18,15634,15688,15604,15680,25006
2055-04-19,15622,15640,15586,15628,21138
2055-04-20,15628,15632,15596,15618,18956
2055-04-21,15638,15720,15636,15708,26446
2055-04-22,15692,15820,15670,15818,48292
2055-04-23,15840,15874,15814,15868,38970
2055-04-24,15848,15920,15848,15902,26494
2055-04-25,15830,15860,15824,15848,15190
2055-04-26,15810,15838,15782,15802,23386
2055-04-27,15802,15836,15792,15808,16610
2055-04-28,15824,15926,15786,15904,34114
2055-04-29,15962,16076,15962,16056,37346
2055-04-30,16012,16064,15986,16056,24194
2055-05-01,16008,16032,15992,16020,11696
2055-05-02,16020,16030,15994,16026,18200
2055-05-03,16198,16230,16186,16222,35744
2055-05-04,16188,16276,16188,16244,22834
2055-05-05,16276,16304,16240,16276,28300
2055-05-06,16264,16286,16214,16246,20052
2055-05-07,16210,16232,16060,16138,36796
2055-05-08,16094,16270,16084,16240,33364
2055-05-09,16262,16310,16252,16276,27906
2055-05-10,16230,16310,16208,16242,25560
2055-05-11,16244,16278,16204,16212,14428
2055-05-12,16174,16192,16080,16092,15412
2055-05-13,16052,16054,16012,16040,6348
2055-05-14,16118,16150,16042,16058,27498
2055-05-15,16056,16064,15860,16002,43686
2055-05-16,16020,16076,15996,16036,22818
2055-05-17,16040,16046,16004,16036,13980
2055-05-18,16092,16152,16064,16142,25816
2055-05-19,16470,16536,16400,16496,6372
2055-05-20,16452,16700,16442,16680,56074
2055-05-21,16526,16612,16524,16580,30818
2055-05-22,16524,16594,16516,16546,25124
2055-05-23,16708,16720,16646,16674,26718
2055-05-24,16746,16750,16654,16736,28588
2055-05-25,16686,16700,16600,16644,25774
2055-05-26,16646,16680,16628,16652,18540
2055-05-27,16690,16752,16580,16728,27224
2055-05-28,16744,16764,16628,16670,25078
2055-05-29,16662,16694,16646,16686,11166
2055-05-30,16682,16690,16566,16574,19568
2055-05-31,16520,16550,16344,16352,41620
2055-06-01,16414,16434,16356,16386,29164
2055-06-02,16460,16574,16454,16542,16906
2055-06-03,16420,16486,16382,16466,22488
2055-06-04,16488,16534,16462,16500,18666
2055-06-05,16560,16620,16546,16618,21416
2055-06-06,16590,16744,16580,16734,39712
2055-06-07,16662,16692,16640,16644,18530
2055-06-08,16480,16508,16280,16330,64860
2055-06-09,16334,16440,16310,16318,33040
2055-06-10,16526,16602,16480,16536,29792
2055-06-11,16414,16444,16352,16418,27600
2055-06-12,16316,16414,16310,16380,30098
2055-06-13,16330,16370,16280,16368,22216
2055-06-14,16292,16340,16170,16218,35870
2055-06-15,16204,16246,16188,16216,20058
2055-06-16,16240,16254,16192,16200,15704
2055-06-17,16154,16176,16116,16158,31892
2055-06-18,16166,16410,16156,16306,36458
2055-06-19,16300,16340,16216,16226,30268
2055-06-20,16250,16316,16220,16274,21262
2055-06-21,16250,16280,16180,16188,22080
2055-06-22,16156,16204,16090,16094,28550
2055-06-23,16066,16108,16042,16088,26720
2055-06-24,16098,16156,16072,16084,12236
2055-06-25,16136,16150,16092,16124,19992
2055-06-26,16140,16154,16094,16118,19478
2055-06-27,16066,16070,16004,16028,33914
2055-06-28,16040,16086,16036,16082,19318
2055-06-29,16090,16190,16064,16156,32626
