"Index","Open","High","Low","Close","Volume"
2054-11-17,532.62,532.89,529.2,532.53,12384
2054-11-18,531.99,538.56,531.18,536.22,18198
2054-11-19,537.84,543.15,537.84,538.47,33732
2054-11-20,538.47,545.85,538.2,540.9,29439
2054-11-21,540.18,548.1,540.18,543.87,29061
2054-11-22,541.8,542.7,534.69,534.96,26847
2054-11-23,530.19,531.36,518.04,519.57,76581
2054-11-24,520.65,523.08,515.7,520.2,36351
2054-11-25,518.4,518.85,508.95,509.13,34002
2054-11-26,506.25,513.45,505.8,512.37,33903
2054-11-27,511.65,516.6,510.39,511.47,20781
2054-11-28,509.49,510.3,502.65,506.88,34893
2054-11-29,507.15,507.6,500.4,507.24,27864
2054-11-30,504.63,512.55,503.55,505.35,21627
2054-12-01,501.75,505.08,500.85,501.39,13869
2054-12-02,499.68,508.41,498.33,507.78,32049
2054-12-03,508.05,510.21,504.45,507.69,20448
2054-12-04,506.7,507.69,499.05,499.5,21429
2054-12-05,496.35,497.7,487.44,487.62,32445
2054-12-06,487.44,487.8,479.25,480.42,31995
2054-12-07,483.75,486.45,480.24,485.55,24741
2054-12-08,482.4,489.6,482.4,484.92,27099
2054-12-09,487.8,489.15,477.36,477.54,24732
2054-12-10,476.1,481.32,473.85,479.07,19044
2054-12-11,482.85,492.3,482.85,491.85,36342
2054-12-12,490.05,491.85,482.85,488.79,21717
2054-12-13,487.35,494.1,485.1,486.54,24426
2054-12-14,483.75,491.31,483.48,490.86,14742
2054-12-15,489.6,496.8,488.25,490.05,27450
2054-12-16,485.55,488.25,479.34,479.52,24768
2054-12-17,480.6,497.52,478.35,492.21,41346
2054-12-18,488.7,490.05,480.15,480.33,19809
2054-12-19,480.15,487.8,474.75,482.58,18945
2054-12-20,486,486,478.8,480.6,19485
2054-12-21,481.05,487.8,480.6,485.82,20889
2054-12-22,482.4,485.82,482.4,482.58,12816
2054-12-23,484.2,486,473.85,478.53,42786
2054-12-24,477.9,482.4,477.9,481.05,18711
2054-12-25,482.85,504.9,481.05,495.9,7947
2054-12-26,495,497.25,493.2,494.1,3060
2054-12-27,495,495.45,488.7,490.5,1800
2054-12-28,495,496.8,491.4,492.75,333
2054-12-29,492.75,500.67,492.75,500.67,2394
2054-12-30,501.57,502.2,495.45,495.45,1575
2054-12-31,501.75,501.75,486,486,1701
2055-01-01,489.15,489.15,483.3,483.3,702
2055-01-02,480.6,481.5,475.65,475.65,1737
2055-01-03,477.9,481.14,464.4,481.14,405
2055-01-04,490.5,492.75,487.08,489.96,18468
2055-01-05,484.65,488.7,483.75,484.29,19647
2055-01-06,481.59,491.85,479.7,491.4,38808
2055-01-07,489.6,495.45,487.8,488.61,25434
2055-01-08,489.6,499.5,488.25,498.15,27126
