"Index","Open","High","Low","Close","Volume"
2054-11-17,35.8,36.04,35.76,36,9936
2054-11-18,36,36.28,34.28,34.36,70076
2054-11-19,34.32,34.4,33.6,33.6,72236
2054-11-20,33.72,34.4,33.72,33.96,35944
2054-11-21,33.68,33.8,33.4,33.44,37352
2054-11-22,33.44,34.12,33.4,33.72,42228
2054-11-23,33.6,34.08,33.4,33.84,44500
2054-11-24,33.92,34.32,33.32,34.24,47556
2054-11-25,33.96,34.16,33.68,33.76,22668
2054-11-26,33.72,33.92,33.12,33.2,46712
2054-11-27,33.08,33.24,33,33,29700
2054-11-28,33.32,33.6,32.96,33.24,35392
2054-11-29,33.12,34.6,33.12,34.36,59468
2054-11-30,34,34.16,33.52,33.6,23912
2054-12-01,33.52,33.96,33.36,33.64,25380
2054-12-02,33.72,34.48,33.56,34.48,40260
2054-12-03,34.32,35,34.04,34.52,57164
2054-12-04,34.6,34.88,34.24,34.52,33176
2054-12-05,34.24,34.52,34.12,34.24,14660
2054-12-06,33.8,34,33.24,33.4,50292
2054-12-07,33.32,33.56,33.04,33.36,43100
2054-12-08,33.56,33.76,33.28,33.32,25676
2054-12-09,32.88,32.96,31.84,32.72,90888
2054-12-10,32.48,32.56,31.96,32,34460
2054-12-11,32.4,32.56,31.92,32.2,36872
2054-12-12,32.6,32.92,32.32,32.64,25916
2054-12-13,32.84,32.96,32.6,32.68,21512
2054-12-14,32.68,32.92,32.48,32.72,14828
2054-12-15,32.8,32.88,32.36,32.44,20968
2054-12-16,32.32,32.48,31.4,31.52,44344
2054-12-17,31.6,31.84,31.36,31.76,37796
2054-12-18,31.84,32.2,31.84,32.08,35376
2054-12-19,31.96,32.2,31.92,32.08,26220
2054-12-20,31.92,34.4,31.92,34.32,117808
2054-12-21,33.92,34,33.4,33.84,41828
2054-12-22,33.64,33.96,33.52,33.84,28604
2054-12-23,33.8,34,32.2,32.6,42584
2054-12-24,32.4,32.64,32.24,32.48,31532
2054-12-25,32.6,32.72,32,32.64,43280
2054-12-26,32.72,32.76,31.44,31.48,36248
2054-12-27,31.24,31.6,30.64,31.2,32312
2054-12-28,30.88,32.08,30.88,31.44,12512
2054-12-29,32.16,32.56,31.96,32.16,18856
2054-12-30,32.28,33.16,32.28,33.08,50132
2054-12-31,32.88,33.12,32.84,32.92,19744
2055-01-01,32.48,32.72,32.2,32.48,23352
2055-01-02,32.48,32.84,32.44,32.48,12420
2055-01-03,32.52,33.12,32.52,32.96,21912
2055-01-04,33.16,33.68,33.12,33.56,56340
2055-01-05,33.64,33.8,33.2,33.48,34880
2055-01-06,33.36,33.52,33.2,33.44,16912
2055-01-07,33.24,33.56,33,33.24,28820
2055-01-08,33.08,33.76,33.08,33.72,34908
2055-01-09,33.56,33.8,32.88,33.32,41944
2055-01-10,33.32,33.8,33.24,33.64,38892
2055-01-11,33.56,33.76,33.36,33.72,22188
2055-01-12,33.76,33.8,33.6,33.76,18632
2055-01-13,33.56,33.68,32.96,33.16,45564
2055-01-14,33.12,33.36,32.88,33.32,20036
2055-01-15,33.32,33.36,33.2,33.28,16080
2055-01-16,33.2,33.4,32.88,33,33456
2055-01-17,32.92,33.6,32.92,33.52,22768
2055-01-18,33.56,34.36,33.56,34.12,76952
2055-01-19,34.2,34.76,34.04,34.72,65228
2055-01-20,34.72,35.08,34.4,35.08,69280
2055-01-21,35.08,36.6,35.08,36.52,109520
2055-01-22,36.32,36.8,35.92,36.72,66700
2055-01-23,36.72,36.8,35.96,36,53516
2055-01-24,36.16,39.32,36.16,39.2,105944
2055-01-25,39.2,39.6,37.72,39.28,80400
2055-01-26,38.4,39,37.88,38.92,65596
2055-01-27,38.36,38.6,38,38.24,35232
2055-01-28,37.6,39.6,37.6,38.68,50500
2055-01-29,37.32,38.56,37.28,37.88,29008
2055-01-30,37.88,38.64,37.84,38.36,29336
2055-01-31,38.52,38.68,37.92,37.92,16004
2055-02-01,38,38.36,37.76,38.16,24940
2055-02-02,38.08,39,37.68,38.88,38712
2055-02-03,39,41.36,39,41.12,29992
2055-02-04,41,41.36,39.84,39.96,56596
2055-02-05,40.08,40.28,38.96,39.32,50772
2055-02-06,39.04,39.28,38.52,39,56268
2055-02-07,39.12,39.72,39,39.64,28312
2055-02-08,39.88,40.4,37.64,37.8,15404
2055-02-09,37.68,38.16,36.6,37.8,64560
2055-02-10,37.92,38.2,37.4,37.96,14460
2055-02-11,37.72,38.52,37.72,38.4,18592
2055-02-12,38.44,38.56,37.84,38.16,22436
2055-02-13,37.92,38.84,37.52,38.8,31380
2055-02-14,38.8,39.36,37.84,38.68,40528
2055-02-15,38.24,38.76,38,38.72,14800
2055-02-16,38.52,38.88,38.44,38.68,12060
2055-02-17,38.52,38.84,38.24,38.8,16984
2055-02-18,38.88,39,38.44,38.44,16584
2055-02-19,38.48,38.76,38.4,38.6,13176
2055-02-20,38.76,38.96,37.04,37.4,87340
2055-02-21,37.44,37.96,37.28,37.56,36800
2055-02-22,37.68,37.84,37.44,37.68,14772
2055-02-23,37.4,37.52,37,37.4,30296
2055-02-24,37.36,37.88,37.36,37.88,18040
2055-02-25,38.12,38.32,37.96,38.16,18960
2055-02-26,38.2,40.04,38.2,39.6,102148
2055-02-27,39.68,39.76,39.32,39.4,28512
2055-02-28,39.32,40.16,39.32,40.12,40316
2055-03-01,40.04,40.16,38.56,38.92,64344
2055-03-02,39.16,39.88,38.96,39.56,28300
2055-03-03,39.76,40.48,39.64,40.12,34988
2055-03-04,40.2,41.44,39.84,41.36,68632
2055-03-05,41.04,41.76,40.84,40.92,28196
2055-03-06,40.6,41.2,40.4,40.6,22364
2055-03-07,40.4,40.48,39.88,40.04,40396
