"Index","Open","High","Low","Close","Volume"
2052-02-21,598.14,612.9,596.43,607.32,24066
2052-02-22,610.47,613.98,592.2,593.37,29286
2052-02-23,594.9,598.05,587.7,595.8,28341
2052-02-24,593.55,598.95,589.5,590.22,16803
2052-02-25,589.05,592.2,585,591.3,9045
2052-02-26,578.79,589.5,578.79,587.7,32787
2052-02-27,578.79,584.19,572.4,577.17,38781
2052-02-28,580.05,593.91,579.6,593.64,29106
2052-02-29,594,596.25,587.25,587.61,23715
2052-03-01,587.7,599.4,580.5,581.94,47133
2052-03-02,582.75,586.35,572.85,575.55,38637
2052-03-03,574.2,585.9,574.2,580.05,38277
2052-03-04,579.6,582.3,570.15,570.69,34587
2052-03-05,572.85,580.5,571.59,579.87,29592
2052-03-06,585.9,588.78,576,582.21,29952
2052-03-07,582.21,584.55,571.95,572.4,24588
2052-03-08,563.4,570.15,555.3,556.02,48591
2052-03-09,556.2,563.85,551.7,562.77,35820
2052-03-10,558.9,562.05,552.6,553.95,19116
2052-03-11,554.4,557.55,547.2,554.85,33732
2052-03-12,554.85,560.7,553.59,558.72,15822
2052-03-13,561.6,564.66,558.27,559.62,24192
2052-03-14,562.41,564.3,549.45,554.85,21780
2052-03-15,553.95,563.4,550.35,562.32,22410
2052-03-16,564.3,568.8,560.25,562.86,26028
2052-03-17,559.8,562.05,554.49,560.25,20025
2052-03-18,555.3,558,552.6,553.68,15966
2052-03-19,553.5,558.9,549.9,552.6,21357
2052-03-20,555.3,557.28,551.79,554.85,19008
2052-03-21,551.7,562.5,551.7,552.78,24138
2052-03-22,553.05,559.08,553.05,555.3,16641
2052-03-23,556.11,573.3,555.75,573.3,37008
2052-03-24,568.17,573.75,567.45,569.43,27072
2052-03-25,570.6,572.04,559.8,561.6,17973
2052-03-26,557.1,558,543.6,543.6,28116
2052-03-27,543.15,548.1,527.4,531.09,15795
2052-03-28,526.5,538.65,526.5,532.8,7938
2052-03-29,540,540,529.65,534.15,3222
2052-03-30,536.4,543.6,536.4,542.88,1125
2052-03-31,540.54,547.2,540.54,545.85,945
2052-04-01,553.5,558.9,547.2,549.45,1620
2052-04-02,550.35,555.3,547.38,555.3,306
2052-04-03,555.3,555.3,550.8,550.8,252
2052-04-04,553.5,553.95,550.71,552.15,144
2052-04-05,554.85,554.85,545.85,545.85,207
2052-04-06,549,549,543.78,548.1,252
2052-04-07,543.15,549,542.07,543.42,342
2052-04-08,549.45,557.1,549.45,556.65,18882
2052-04-09,556.65,572.85,556.65,568.8,46008
2052-04-10,582.75,584.1,570.6,571.23,47475
2052-04-11,567.9,573.75,566.1,570.24,19377
2052-04-12,572.49,576,570.51,575.55,18783
2052-04-13,574.65,577.35,569.7,571.23,21393
2052-04-14,572.85,573.75,562.68,567.27,18549
2052-04-15,567.45,569.7,563.94,566.64,12663
2052-04-16,564.3,571.5,564.3,570.87,14976
2052-04-17,572.4,576.9,567.45,567.81,20088
2052-04-18,565.2,572.4,561.6,570.87,20358
2052-04-19,570.6,574.2,563.04,563.85,24021
2052-04-20,562.5,569.25,558.45,558.99,24813
2052-04-21,558.45,566.55,558.45,566.01,11808
2052-04-22,563.85,571.05,563.85,568.53,15525
2052-04-23,570.6,571.5,564.84,565.92,11070
2052-04-24,569.7,577.8,547.92,547.92,30375
2052-04-25,551.25,551.7,542.7,543.33,24309
2052-04-26,547.2,550.62,542.25,548.73,26388
2052-04-27,552.15,556.2,552.15,555.75,13590
2052-04-28,553.68,558.9,552.6,556.38,7983
2052-04-29,557.1,565.65,557.1,564.21,12870
2052-04-30,561.15,571.05,556.65,569.43,22419
2052-05-01,569.7,574.65,565.2,567.45,19008
2052-05-02,567.45,569.7,558.45,566.55,18126
2052-05-03,566.1,568.35,560.88,564.48,14976
2052-05-04,558.9,568.8,558.9,564.3,10710
2052-05-05,567.9,570.6,564.75,567.9,11718
2052-05-06,571.5,576,569.25,572.76,21591
2052-05-07,577.26,585,576.45,580.23,25488
2052-05-08,583.65,586.8,580.05,586.17,18000
2052-05-09,581.4,586.35,580.5,585.45,3312
2052-05-10,583.38,586.8,577.8,584.37,3555
2052-05-11,586.8,591.75,585,589.5,5634
2052-05-12,589.5,592.92,589.5,592.65,2997
2052-05-13,592.2,594.45,588.6,594.45,1953
2052-05-14,594.45,596.97,594,596.61,2277
2052-05-15,597.87,598.14,594.45,598.14,1287
2052-05-16,598.5,600.75,598.05,600.75,2457
2052-05-17,600.75,603,599.4,602.73,4887
2052-05-18,603,603,600.57,600.57,1818
2052-05-19,555.57,569.25,553.95,568.35,16983
2052-05-20,566.55,571.5,565.65,566.64,16254
2052-05-21,567,569.25,558.45,566.01,17910
2052-05-22,562.95,580.95,562.5,580.32,31185
2052-05-23,577.35,590.4,577.35,586.35,34938
2052-05-24,592.65,602.1,591.3,599.49,28584
2052-05-25,596.25,597.6,590.85,595.08,24183
2052-05-26,595.8,595.8,587.7,588.6,15723
2052-05-27,592.2,602.01,585.9,586.35,19008
2052-05-28,581.22,598.5,581.22,597.42,18747
2052-05-29,583.02,596.7,583.02,589.95,14607
2052-05-30,585.9,597.15,585.9,595.53,15813
2052-05-31,592.65,595.53,584.1,585.63,13842
2052-06-01,587.25,589.5,581.13,584.1,13383
2052-06-02,588.15,592.2,582.75,589.23,8946
2052-06-03,595.8,603,594.45,602.55,17406
2052-06-04,603.18,607.5,590.4,595.62,13671
2052-06-05,596.52,601.65,594.9,595.26,7839
2052-06-06,595.35,603.9,595.35,597.42,14328
2052-06-07,604.8,615.33,604.8,615.06,22149
2052-06-08,611.55,612,599.4,610.2,15795
2052-06-09,592.2,603,592.2,592.2,15174
2052-06-10,594.45,597.15,585.9,593.1,17316
2052-06-11,596.7,602.19,587.7,595.98,14616
2052-06-12,599.85,601.65,591.48,598.95,10476
2052-06-13,597.6,602.55,589.95,602.19,12393
2052-06-14,605.43,620.19,604.8,620.19,17712
2052-06-15,622.8,623.52,606.6,611.28,12447
2052-06-16,613.89,619.65,600.3,612,13887
2052-06-17,621,628.65,619.2,625.05,7659
2052-06-18,624.6,625.5,612.18,618.3,14049
2052-06-19,614.25,616.05,608.4,615.6,8937
2052-06-20,608.4,620.1,597.6,597.6,9477
2052-06-21,588.6,603,588.6,594.9,3726
2052-06-22,608.4,619.65,608.4,619.2,3762
2052-06-23,616.5,617.4,597.6,597.78,4482
2052-06-24,581.4,582.3,572.4,573.3,4869
2052-06-25,580.05,588.96,576.45,585.18,3285
2052-06-26,593.1,596.25,587.25,589.95,765
2052-06-27,591.75,591.75,574.2,585,630
2052-06-28,585.9,601.65,585.9,601.2,1008
2052-06-29,601.65,602.1,547.47,547.47,828
2052-06-30,538.65,545.4,534.6,537.57,4536
2052-07-01,533.25,535.5,529.65,535.32,5913
2052-07-02,537.75,540,530.55,532.35,8262
2052-07-03,522,527.22,514.35,518.22,7866
2052-07-04,523.35,524.7,516.6,519.75,5823
2052-07-05,519.75,522,516.6,519.39,5319
2052-07-06,511.47,515.7,505.26,515.52,5850
2052-07-07,512.1,520.56,511.2,517.68,4509
2052-07-08,518.4,522.9,513,522,3294
2052-07-09,524.7,526.5,522.9,523.8,4608
2052-07-10,525.6,529.2,524.7,528.66,1701
2052-07-11,525.6,526.5,522.45,525.42,3186
2052-07-12,521.55,522,511.2,516.42,3384
2052-07-13,515.7,519.3,511.2,512.01,2736
2052-07-14,509.04,510.48,504,504.9,6057
2052-07-15,506.25,508.41,501.75,508.23,3834
2052-07-16,506.25,514.8,504.9,505.35,4797
