"Index","Open","High","Low","Close","Volume"
2052-02-21,16454,16466,16320,16402,56616
2052-02-22,16060,16096,15732,15738,92138
2052-02-23,15400,15660,15400,15586,81492
2052-02-24,15670,15694,15536,15566,45200
2052-02-25,15508,15646,15470,15630,48478
2052-02-26,15688,15716,15648,15666,40900
2052-02-27,15760,15820,15724,15780,55006
2052-02-28,15976,15986,15798,15854,81502
2052-02-29,15860,15926,15836,15918,37882
2052-03-01,15938,15956,15100,15362,73724
2052-03-02,15410,15532,15406,15496,58724
2052-03-03,15500,15672,15472,15630,69856
2052-03-04,15764,15790,15664,15786,65934
2052-03-05,15780,15818,15696,15804,53818
2052-03-06,15734,15806,15688,15770,42252
2052-03-07,15738,15746,15682,15712,39288
2052-03-08,15744,15748,15694,15716,39904
2052-03-09,15692,15810,15630,15784,57516
2052-03-10,15786,15826,15758,15808,39814
2052-03-11,15680,15716,15666,15676,37752
2052-03-12,15496,15538,15474,15514,55306
2052-03-13,15584,15656,15576,15648,48228
2052-03-14,15636,15710,15630,15634,51290
2052-03-15,15548,15654,15548,15636,48436
2052-03-16,15592,15634,15500,15532,58878
2052-03-17,15540,15606,15536,15538,48680
2052-03-18,15518,15564,15494,15548,33976
2052-03-19,15550,15582,15522,15538,36966
2052-03-20,15544,15558,15502,15506,18888
2052-03-21,15412,15490,15140,15282,57938
2052-03-22,15374,15412,15366,15380,43438
2052-03-23,15358,15410,15354,15390,28174
2052-03-24,15410,15458,15378,15386,46098
2052-03-25,15406,15434,15390,15410,29430
2052-03-26,15450,15508,15450,15484,34806
2052-03-27,15568,15588,15528,15546,51370
2052-03-28,15546,15580,15532,15548,36462
2052-03-29,15504,15576,15488,15574,54668
2052-03-30,15586,15638,15582,15600,46612
2052-03-31,15610,15616,15580,15604,30030
2052-04-01,15594,15618,15584,15586,27334
2052-04-02,15450,15518,15442,15458,69630
2052-04-03,15474,15500,15474,15496,29786
2052-04-04,15498,15556,15474,15538,39614
2052-04-05,15562,15670,15562,15664,19620
2052-04-06,15616,15652,15592,15636,18794
2052-04-07,15604,15638,15604,15632,10750
2052-04-08,15646,15666,15608,15616,8764
2052-04-09,15720,15730,15690,15710,11686
2052-04-10,15780,15796,15756,15758,5864
2052-04-11,15836,15846,15800,15818,28652
2052-04-12,15800,15814,15776,15786,26280
2052-04-13,15784,15800,15580,15612,87260
2052-04-14,15674,15724,15652,15708,45564
2052-04-15,15816,15890,15806,15832,54616
2052-04-16,15820,15846,15796,15834,36142
2052-04-17,15842,15878,15838,15858,31652
2052-04-18,15980,16020,15952,16018,67736
2052-04-19,15984,16070,15972,16024,60424
2052-04-20,16180,16242,16162,16238,59152
2052-04-21,16128,16164,16066,16086,57414
2052-04-22,16066,16148,16030,16138,60654
2052-04-23,16212,16240,16156,16174,50456
2052-04-24,16236,16268,16148,16196,55402
2052-04-25,16130,16154,16052,16078,49780
2052-04-26,16074,16130,15904,15956,81462
2052-04-27,15962,16012,15952,15996,52648
2052-04-28,16010,16028,15976,16002,40174
2052-04-29,15852,15932,15844,15920,57698
2052-04-30,15902,15918,15866,15868,28344
2052-05-01,15872,15954,15872,15910,50768
2052-05-02,15936,16300,15920,16278,91042
2052-05-03,16216,16252,16210,16226,50240
2052-05-04,16184,16212,16162,16166,44254
2052-05-05,16168,16204,16154,16160,38532
2052-05-06,16226,16232,16186,16196,38976
2052-05-07,16184,16202,16160,16166,24948
2052-05-08,16120,16122,16080,16092,40942
2052-05-09,16106,16128,16082,16100,23784
2052-05-10,16138,16160,16064,16072,44090
2052-05-11,16040,16088,16018,16082,45006
2052-05-12,16090,16128,16080,16112,29650
2052-05-13,16102,16110,16042,16044,24516
2052-05-14,16014,16072,16002,16064,43024
2052-05-15,16080,16094,16046,16048,15566
2052-05-16,16046,16110,16034,16098,42024
2052-05-17,16124,16148,16054,16060,55018
2052-05-18,16088,16110,16044,16074,40882
2052-05-19,16098,16114,16068,16072,23664
2052-05-20,16116,16148,16114,16130,30480
2052-05-21,16156,16160,16112,16124,39054
2052-05-22,16100,16128,16094,16098,38092
2052-05-23,16106,16106,16070,16076,24686
2052-05-24,16066,16072,16030,16038,40542
2052-05-25,16068,16070,15840,15930,69608
2052-05-26,15966,16060,15966,16054,51408
2052-05-27,16060,16068,16044,16052,29312
2052-05-28,16038,16062,16026,16058,21594
2052-05-29,16056,16108,16056,16098,28170
2052-05-30,16134,16158,16102,16140,43162
2052-05-31,16102,16124,16100,16106,33002
2052-06-01,16078,16106,16064,16080,26360
2052-06-02,16048,16060,16006,16022,39486
2052-06-03,16024,16030,15990,15996,39724
2052-06-04,16010,16018,15970,15972,42516
2052-06-05,15884,15884,15792,15840,84398
2052-06-06,15926,15930,15874,15894,47230
2052-06-07,15838,15908,15836,15896,27452
2052-06-08,15920,15948,15902,15942,14750
2052-06-09,15984,15990,15924,15934,14778
2052-06-10,15978,16046,15956,16040,12398
2052-06-11,16010,16034,15990,16002,8918
2052-06-12,15964,15996,15964,15984,11204
2052-06-13,16110,16116,15924,15930,81772
2052-06-14,15968,15994,15952,15956,51446
2052-06-15,16034,16064,16020,16048,38544
2052-06-16,16030,16044,16016,16024,21094
2052-06-17,15986,16004,15968,15972,33362
2052-06-18,15956,15982,15944,15958,34826
2052-06-19,15700,15712,15632,15644,86124
2052-06-20,15648,15700,15630,15696,58122
2052-06-21,15532,15540,15400,15470,74944
2052-06-22,15362,15428,15358,15386,59448
2052-06-23,15440,15466,15300,15320,60940
2052-06-24,15146,15198,15032,15138,86022
2052-06-25,15102,15160,15044,15130,71390
2052-06-26,14992,15064,14952,14994,63728
2052-06-27,14980,15066,14954,15002,88298
2052-06-28,15072,15114,15056,15072,53460
2052-06-29,15286,15324,15162,15220,99130
2052-06-30,15210,15216,15108,15124,67280
2052-07-01,15124,15210,15086,15094,66368
2052-07-02,15172,15210,15158,15192,40868
2052-07-03,15170,15182,15126,15180,38286
2052-07-04,15120,15150,15106,15120,40916
2052-07-05,15040,15050,14854,14866,71030
2052-07-06,14878,14964,14876,14956,61242
2052-07-07,15030,15082,14996,15078,44048
2052-07-08,15072,15136,15056,15072,43352
2052-07-09,15188,15274,15146,15270,58198
2052-07-10,15376,15412,15332,15390,58394
2052-07-11,15250,15288,15166,15188,69194
2052-07-12,15214,15230,15146,15198,53362
2052-07-13,15096,15314,15092,15286,49322
2052-07-14,15230,15236,15154,15202,40440
2052-07-15,15152,15184,15070,15090,53936
2052-07-16,15108,15170,15108,15168,38014
2052-07-17,15156,15166,15110,15116,33454
2052-07-18,15104,15148,15096,15142,22136
2052-07-19,15100,15128,15088,15104,28562
2052-07-20,15084,15102,15004,15006,57194
2052-07-21,14996,15060,14986,14998,44218
2052-07-22,15032,15042,14854,14878,54620
2052-07-23,14926,15016,14896,15012,57842
2052-07-24,15002,15160,14974,15156,60222
2052-07-25,15062,15124,15058,15076,35538
2052-07-26,15082,15092,15052,15068,28578
2052-07-27,15066,15320,14988,15030,69200
2052-07-28,15042,15048,14944,14990,58394
2052-07-29,15090,15094,14990,15046,36958
2052-07-30,15036,15066,15012,15018,23626
2052-07-31,14980,15020,14948,15010,36560
2052-08-01,14990,15010,14964,14966,27556
2052-08-02,14958,14996,14920,14992,40156
2052-08-03,15070,15070,14978,15032,44128
2052-08-04,14974,15012,14964,14994,31350
2052-08-05,14928,14952,14898,14900,31150
2052-08-06,14914,14934,14820,14826,53122
2052-08-07,14698,14704,14644,14690,74454
2052-08-08,14660,14700,14646,14682,49022
2052-08-09,14632,14768,14592,14762,70828
2052-08-10,14788,14860,14768,14840,58780
2052-08-11,14982,15020,14936,15012,75934
2052-08-12,14960,14976,14928,14970,38510
2052-08-13,15040,15060,14954,14972,55266
2052-08-14,14972,15010,14968,14996,15226
2052-08-15,15026,15044,15004,15020,6438
2052-08-16,14972,15030,14832,14896,16928
2052-08-17,14930,14972,14924,14946,14852
2052-08-18,14906,14922,14894,14904,7284
2052-08-19,14942,14970,14942,14958,5326
2052-08-20,15058,15068,15024,15040,34018
2052-08-21,15012,15028,15004,15010,18844
2052-08-22,14994,15002,14950,14962,25158
2052-08-23,14976,15008,14958,15004,16866
2052-08-24,14938,14996,14924,14974,31880
2052-08-25,14976,15002,14970,14974,20634
2052-08-26,15012,15042,15004,15040,29708
2052-08-27,15020,15022,14990,14998,19398
2052-08-28,14990,15096,14970,15076,38338
2052-08-29,15084,15094,15066,15084,33644
2052-08-30,15126,15142,15108,15128,32866
2052-08-31,15072,15132,15064,15120,40578
2052-09-01,15100,15110,15074,15076,15428
2052-09-02,15074,15150,15070,15106,34068
2052-09-03,15208,15260,15204,15228,42026
2052-09-04,15370,15420,15352,15382,66632
2052-09-05,15582,15680,15582,15656,88492
2052-09-06,15708,15890,15580,15792,105300
2052-09-07,15772,15906,15770,15890,73288
2052-09-08,15804,15862,15800,15860,61232
2052-09-09,15830,15914,15824,15848,62380
2052-09-10,15824,15846,15794,15796,54066
2052-09-11,15862,15896,15816,15822,52754
2052-09-12,15888,15954,15874,15936,65656
2052-09-13,15872,15902,15852,15862,41838
2052-09-14,15836,15898,15828,15852,37616
2052-09-15,15874,16024,15862,16020,71362
2052-09-16,16032,16042,15960,15964,53316
2052-09-17,15946,16018,15922,16008,45790
2052-09-18,16128,16128,15978,15984,74020
2052-09-19,16030,16072,15990,16054,55752
2052-09-20,16126,16218,16078,16210,80444
2052-09-21,16178,16196,16110,16122,49364
2052-09-22,16152,16190,16020,16070,69262
2052-09-23,16106,16146,16090,16138,39008
2052-09-24,16046,16048,15982,16032,52928
2052-09-25,16136,16242,16108,16226,97482
2052-09-26,16182,16234,16172,16198,52718
2052-09-27,16298,16400,16298,16370,46972
2052-09-28,16236,16290,16204,16216,58010
2052-09-29,16260,16300,16238,16282,46558
2052-09-30,16312,16416,16286,16410,80504
2052-10-01,16468,16470,16320,16428,61952
2052-10-02,16358,16386,16284,16364,51722
2052-10-03,16386,16466,16376,16458,40006
2052-10-04,16518,16544,16466,16532,47542
2052-10-05,16502,16568,16500,16542,48682
2052-10-06,16414,16442,16396,16398,46074
2052-10-07,16466,16514,16432,16434,66728
2052-10-08,16416,16508,16400,16498,63952
2052-10-09,16494,16534,16472,16508,40598
2052-10-10,16498,16554,16420,16546,56842
2052-10-11,16520,16528,16480,16498,29140
2052-10-12,16494,16502,16428,16434,39430
2052-10-13,16312,16328,16122,16196,95462
2052-10-14,16330,16394,16294,16388,70494
2052-10-15,16340,16386,16324,16346,40026
2052-10-16,16316,16322,16278,16302,20232
2052-10-17,16256,16272,16224,16226,20100
2052-10-18,16234,16334,16212,16318,15014
2052-10-19,16264,16274,16126,16152,13670
2052-10-20,16078,16130,16050,16118,13910
2052-10-21,16132,16156,16110,16118,6076
2052-10-22,16176,16194,16120,16130,46542
2052-10-23,16216,16268,16208,16230,33736
2052-10-24,16214,16220,16190,16212,12816
2052-10-25,16200,16214,16178,16186,5104
2052-10-26,16190,16200,16166,16184,6930
2052-10-27,16084,16106,16040,16064,35718
2052-10-28,16070,16072,16020,16050,24346
2052-10-29,16166,16166,16110,16138,20576
2052-10-30,16320,16374,16282,16298,67940
2052-10-31,16180,16196,16118,16170,64164
2052-11-01,16110,16112,16006,16018,66296
2052-11-02,15954,15984,15900,15934,59062
2052-11-03,15940,16042,15922,16036,52854
2052-11-04,16022,16038,15948,15994,54376
2052-11-05,15960,16064,15956,16046,52708
2052-11-06,16000,16020,15932,15960,40090
2052-11-07,15888,15970,15830,15846,66128
2052-11-08,15766,15770,15688,15742,44280
2052-11-09,15802,15826,15762,15780,33996
2052-11-10,15750,15890,15638,15656,78756
2052-11-11,15538,15664,15516,15660,78270
2052-11-12,15680,15776,15644,15766,49894
2052-11-13,15700,15806,15688,15770,39942
2052-11-14,15860,15888,15742,15766,69860
2052-11-15,15772,15820,15716,15816,61810
2052-11-16,15724,15730,15680,15682,44450
2052-11-17,15656,15690,15542,15556,62156
2052-11-18,15476,15562,15476,15548,65786
2052-11-19,15548,15560,15410,15428,74262
2052-11-20,15450,15538,15430,15440,63480
2052-11-21,15534,15600,15462,15502,74382
2052-11-22,15534,15590,15480,15528,64430
2052-11-23,15480,15544,15472,15534,43898
2052-11-24,15530,15566,15504,15520,35188
2052-11-25,15520,15544,15492,15528,40172
2052-11-26,15634,15692,15618,15678,55716
2052-11-27,15780,15780,15584,15610,101472
2052-11-28,15630,15696,15592,15692,49138
2052-11-29,15760,15892,15758,15888,88914
2052-11-30,15916,16006,15826,15920,97006
2052-12-01,15856,15920,15850,15912,51928
2052-12-02,15956,15990,15860,15936,57090
2052-12-03,15756,15856,15732,15762,78070
2052-12-04,15832,15878,15798,15846,64878
2052-12-05,15908,15944,15856,15906,68764
2052-12-06,15840,15898,15820,15886,48178
2052-12-07,15892,15912,15814,15824,53934
2052-12-08,15746,15824,15746,15794,45838
2052-12-09,15640,15650,15608,15622,76994
2052-12-10,15618,15668,15606,15610,61106
2052-12-11,15644,15706,15626,15674,55172
2052-12-12,15602,15602,15480,15490,30324
2052-12-13,15546,15574,15524,15532,19120
2052-12-14,15550,15576,15476,15484,24468
2052-12-15,15496,15540,15484,15536,16968
2052-12-16,15494,15506,15424,15452,13924
2052-12-17,15396,15412,15392,15402,9396
2052-12-18,15606,15660,15606,15636,49898
2052-12-19,15580,15612,15510,15530,72824
2052-12-20,15548,15560,15444,15498,59886
2052-12-21,15462,15470,15386,15392,57612
2052-12-22,15380,15460,15336,15454,71806
2052-12-23,15416,15518,15416,15454,70070
2052-12-24,15416,15496,15416,15464,44698
2052-12-25,15500,15506,15420,15446,44386
2052-12-26,15274,15290,15246,15262,39134
2052-12-27,15282,15300,15198,15220,66344
2052-12-28,15242,15276,15212,15218,55934
2052-12-29,15296,15312,15166,15300,66366
2052-12-30,15304,15304,15246,15264,53348
2052-12-31,15298,15360,15284,15356,59032
2053-01-01,15438,15496,15426,15476,77290
2053-01-02,15352,15394,15336,15388,51030
2053-01-03,15290,15354,15290,15332,35370
2053-01-04,15324,15374,15230,15236,64550
2053-01-05,15246,15258,15218,15222,36580
2053-01-06,15236,15252,15220,15234,28792
2053-01-07,15210,15230,15180,15196,34796
2053-01-08,15236,15320,15218,15294,59910
2053-01-09,15240,15318,15214,15300,61338
2053-01-10,15296,15314,15272,15286,37658
2053-01-11,15266,15378,15264,15356,59680
2053-01-12,15288,15310,15222,15238,73480
2053-01-13,15274,15406,15260,15384,61714
2053-01-14,15354,15384,15340,15354,42310
2053-01-15,15372,15374,15320,15334,31668
2053-01-16,15352,15396,15336,15342,43560
2053-01-17,15306,15322,15240,15256,51128
2053-01-18,15224,15266,15220,15254,39216
2053-01-19,15174,15174,15134,15150,61044
2053-01-20,15026,15060,15004,15022,47074
2053-01-21,15018,15048,14996,15000,41798
2053-01-22,15014,15048,14972,14976,55762
2053-01-23,15046,15056,14992,15000,38604
2053-01-24,15002,15090,14964,14996,66468
2053-01-25,14952,14978,14906,14926,58210
2053-01-26,14926,14960,14908,14958,54648
2053-01-27,14970,15006,14928,14974,50100
2053-01-28,14896,14920,14854,14860,48704
2053-01-29,14788,14914,14750,14764,89904
2053-01-30,14622,14666,14614,14652,65998
2053-01-31,14686,14700,14632,14682,52084
2053-02-01,14604,14634,14406,14438,90938
2053-02-02,14406,14498,14382,14452,81820
2053-02-03,14470,14494,14440,14446,31988
2053-02-04,14146,14170,14096,14140,85436
2053-02-05,14186,14200,14092,14104,69204
2053-02-06,14094,14106,14006,14020,60214
2053-02-07,14096,14190,14084,14184,62364
2053-02-08,14334,14344,14176,14216,53820
2053-02-09,14004,14052,13962,14036,84608
2053-02-10,14058,14126,13990,14012,72578
2053-02-11,14066,14092,14032,14070,39982
2053-02-12,14110,14260,14068,14240,80854
2053-02-13,14176,14194,14018,14022,75490
2053-02-14,13984,14070,13970,14066,70476
2053-02-15,14064,14094,14010,14026,62240
2053-02-16,14002,14006,13962,13972,51258
2053-02-17,13818,13840,13666,13672,79048
2053-02-18,13450,13488,13414,13476,47148
2053-02-19,13490,13562,13386,13544,41764
2053-02-20,13424,13496,13390,13398,12008
2053-02-21,13246,13650,13176,13624,13924
2053-02-22,13626,13840,13620,13824,13810
2053-02-23,13770,13820,13760,13770,10862
2053-02-24,14092,14092,13920,13926,62194
2053-02-25,13926,14180,13914,14150,86268
2053-02-26,14310,14480,14254,14460,109184
2053-02-27,14500,14670,14440,14570,101636
2053-02-28,14412,14414,14272,14334,80906
2053-03-01,14296,14440,14208,14220,74354
2053-03-02,14118,14210,14102,14126,58316
2053-03-03,14190,14200,14034,14054,60602
2053-03-04,14028,14080,13988,14014,43836
2053-03-05,14418,14596,14392,14578,73938
2053-03-06,14496,14520,14418,14494,63040
2053-03-07,14454,14580,14380,14486,67596
2053-03-08,14536,14550,14460,14478,52010
2053-03-09,14434,14434,14302,14306,60834
2053-03-10,14332,14426,14324,14418,53004
2053-03-11,14420,14528,14398,14432,55254
2053-03-12,14414,14480,14280,14284,67374
2053-03-13,14212,14246,14166,14230,53782
2053-03-14,14096,14286,14096,14230,76334
2053-03-15,14230,14260,14124,14136,73160
2053-03-16,14190,14240,14166,14234,52818
2053-03-17,14214,14232,14142,14192,47492
2053-03-18,14120,14146,14040,14114,74848
2053-03-19,14130,14196,14092,14190,52664
2053-03-20,14296,14362,14252,14356,64402
2053-03-21,14446,14510,14386,14394,70332
2053-03-22,14426,14456,14384,14440,56396
2053-03-23,14640,14740,14628,14696,104846
2053-03-24,14710,14788,14654,14772,72788
2053-03-25,14716,14776,14698,14704,44350
2053-03-26,14734,14746,14576,14644,41084
2053-03-27,14580,14608,14356,14362,82044
2053-03-28,14344,14420,14310,14336,49436
2053-03-29,14460,14482,14412,14476,51576
2053-03-30,14420,14476,14396,14458,35172
2053-03-31,14444,14458,14366,14370,35796
2053-04-01,14226,14270,14102,14136,87170
2053-04-02,14148,14188,14114,14124,55268
2053-04-03,14098,14170,14096,14144,49086
2053-04-04,14104,14146,14072,14116,34728
2053-04-05,14040,14054,13922,13966,60296
2053-04-06,14008,14070,13990,14050,50940
2053-04-07,14048,14088,14028,14032,25242
2053-04-08,14028,14114,13994,14104,52532
2053-04-09,14046,14084,13998,14014,53692
2053-04-10,13980,14032,13962,14012,43286
2053-04-11,13970,14004,13932,13940,29296
2053-04-12,13880,13904,13860,13874,31970
2053-04-13,13950,14100,13908,13990,79598
2053-04-14,13990,14016,13882,13888,54086
2053-04-15,13840,13878,13774,13796,46106
2053-04-16,13804,13826,13714,13746,61282
2053-04-17,13632,13652,13598,13628,62630
2053-04-18,13678,13702,13652,13684,50546
2053-04-19,13600,13638,13594,13632,44052
2053-04-20,13666,13696,13608,13618,53454
2053-04-21,13570,13640,13568,13604,30146
2053-04-22,13650,13666,13590,13610,27668
2053-04-23,13632,13700,13600,13668,17560
2053-04-24,13668,13700,13608,13618,9086
2053-04-25,13616,13970,13428,13756,15502
2053-04-26,13642,13676,13634,13666,4564
2053-04-27,13790,13858,13786,13832,45324
2053-04-28,13850,13936,13844,13894,54100
2053-04-29,13880,13904,13810,13830,35400
2053-04-30,13854,13892,13800,13816,40996
2053-05-01,14100,14190,14100,14184,83892
2053-05-02,14110,14236,14110,14174,83002
2053-05-03,14330,14412,14300,14346,94706
2053-05-04,14276,14374,14266,14354,68104
2053-05-05,14472,14506,14430,14486,55632
2053-05-06,14446,14476,14400,14436,43828
2053-05-07,14338,14360,14236,14276,72402
2053-05-08,14292,14306,14238,14244,43844
